MID;URL
M85877842;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:017
M85877840;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:015
M85877838;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:014
M85877834;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:013
M85877833;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:012
M85877832;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:011
M85877831;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:010
M85877830;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:009
M85877638;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:008
M85877008;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:007
M92397888;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:038r
M92397886;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:037r
M92397884;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:036r
M92397881;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:035r
M92397880;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:034r
M92397879;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:033r
M92397878;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:032r
M92397876;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:031v
M92397870;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:031r
M92397869;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:030r
M92397867;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:029v
M92397866;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:029r
M92397864;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:028r
M92397859;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:027v
M92397854;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:027r
M92397851;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:026r
M92397846;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:025v
M92397840;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:025r
M92397837;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:024r
M92397828;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:023r
M92397816;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:022r
M92397813;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:021v
M92397811;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:021r
M92397807;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:020r
M92397805;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:019r
M92397801;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:018r
M92397800;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:017r
M92397799;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:016v
M92397796;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:016r
M92397796;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:015v
M92397794;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:015r
M92397791;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:014v
M92397790;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:014r
M92397786;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:013r
M92397783;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:012r
M92397781;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:011r
M92397772;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:010r
M92397770;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:009r
M92397766;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:008r
M92397759;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:007v
M92397757;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:007r
M92397755;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:006v
M92397753;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:006r
M92397749;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:005r
M92397746;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:004r
M92397739;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:003r
M92397737;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:002r
M92397734;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:001v
M92397731;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:133M117:001r
M86270608;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:250
M85961103;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:173
M85900219;http://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:097
